"HolderAddress","Balance","PendingBalanceUpdate"
"0xf977814e90da44bfa03b6295a0616a897441acec","3,897,902.004","No"
"0x5a52e96bacdabb82fd05763e25335261b270efcb","3,500,000","No"
"0x429dc62e58483e1262fdce4e452e9266984f2a45","3,389,146.39146839701995962","No"
"0x28c6c06298d514db089934071355e5743bf21d60","1,282,988.027581125498200515","No"
"0x14139f848e7bf577bfbc06b19790eb2d25bbfcc1","1,238,169.6985","No"
"0x9944a69089a39cb719b8533cc892e133e3a80a07","1,231,823.89927796","No"
"0x4a245257e2730376edaa034051ba26023b03daef","1,080,250.958904109589041894","No"
"0xa98d81e3f123278c0f2f1abc27b9a94d1d59b02e","998,255.7754545454","No"
"0x570febdf89c07f256c75686caca215289bb11cfc","886,051.919313176072070794","No"
"0x83ec9aefdb058a77a1d8e410f8f241c665a1d24e","873,038.35738642626345034","No"
"0xedfe9ac42a511e1c523e067db8345711419d4f14","635,397.877171219105173004","No"
"0x217800357086747a01899d529866e1ec91517026","457,297.547786498000998837","No"
"0x507053b6729c8b73046e70fbd94958225f4bfe07","331,817.271360477578196344","No"
"0x22467b8ed50c4487c51a5db8e2911660607a18fa","327,271.2727272728","No"
"0x34a77aa9ae42ff9a9b2078e450651d112d5be908","287,392.525403960291921666","No"
"0x1780372b9b6ec3c3fa29f637cfbb58f5bbd2454b","284,686.53","No"
"0x51174e6259ec2b96e96b3178401ef2ea26b41222","256,772.1179689737680341","No"
"0xee59b05e39209a95dcdc2f9846178c983d82c3aa","246,837.616478764724255166","No"
"0x8ccdccb7c945e6dd90ffc3226c3dbb1d4f6300a2","231,842.56688279368820377","No"
"0xe74b28c2eae8679e3ccc3a94d5d0de83ccb84705","218,005.75392694181183","No"
"0xf85a9faf243ec3c806eca8fb0c063e2c920900e1","217,857.325206525077757","No"
"0x8cf982fa77524be83cdb372339cb5c4014d99f01","213,684.6698154215348817","No"
"0xb0f252d4f51cd2bf8b26847e00519925f56611f9","205,512.987095959583196139","No"
"0x6cc5f688a315f3dc28a7781717a9a798a59fda7b","201,253.343903793553543664","No"
"0x073e954906229382cb1883caec58b00cb0fc7dfd","200,000","No"
"0x5e6566bab016f01cfe8d3cfbe5eb21198192e3fb","191,516.17017543859649099","No"
"0xbbc61272b2fb903e496465508e0bf55494d185bf","185,288","No"
"0xd6216fc19db775df9774a6e33526131da7d19a2c","167,968.158952040790163192","No"
"0x70031213c95deecfa44a6c438bca25134a292eef","161,735.49090908999999931","No"
"0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c","145,255.759966473789717029","No"
"0xf572bccc19231e13934d268e1fb73b7fc0961cb5","137,000","No"
"0xd2242b55efa10225ed67247203f9b6ac104a6b59","136,097.73503558996502909","No"
"0xef20b900d5aa651b9bf7b5abec35d02350b2a810","131,377.68","No"
"0xb1db3e730df1833983222130cf95139f6b563578","127,342.758860764825657458","No"
"0xd3a0c59fda2d603c02ff84dd9c00f612cb2b650e","122,219.900112560511793578","No"
"0xcffad3200574698b78f32232aa9d63eabd290703","122,154.091464290199400876","No"
"0x21a31ee1afc51d94c2efccaa2092ad1028285549","120,434.99","No"
"0xdfd5293d8e347dfe59e90efd55b2956a1343963d","118,831.289","No"
"0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43","109,389.9097043291264129","No"
"0x1d27a08486be145209b68291cf06e7d804e0a054","107,061.0992","No"
"0x7b2757b062fa6a2ac38ab7d1139c506779fe1b99","107,002.812205329501148802","No"
"0x9e3e62cb58ad91efd8b68d85c1d6bc9f7a075e9f","106,042.26","No"
"0xe2fe530c047f2d85298b07d9333c05737f1435fb","100,001.03188672","No"
"0x2f182689eca6e6d905af2624fc7978569ec32002","97,342.561931991712863675","No"
"0xe4df4a26618c758433dbde931d19afe73d81fee2","95,239","No"
"0xfdb3519f49149ffbd787927cd09792eeaccdd56c","78,082.191780821917808145","No"
"0x571ec2a0857302797572a39b0d2371838b70c331","73,854.862029838395803258","No"
"0xd95fa4747f7afbbc07ef211d54103a8eca0e76df","73,765.999999999999607999","No"
"0x50bfab20a176bfa9e5805ba01bd71fcf2935cedb","59,999.9981818184","No"
"0xa66c503b43399d2d8c3bf3d957e2713fece3e286","59,054.004629317372134451","No"
"0xf3b0073e3a7f747c7a38b36b805247b222c302a3","57,423.544575233063366008","No"
"0xedfddb8ea41deb967e75dc14ff56a821b1ef3306","55,930","No"
"0xf2f47cda8c04e6812fe47d7be0880bb987797df1","55,727.332869999999999811","No"
