"HolderAddress","BalanceInETH","Timeframe"
0xf977814e90da44bfa03b6295a0616a897441acec,3897902.004000000284033024,Over 360 days
0x5a52e96bacdabb82fd05763e25335261b270efcb,3500000.0000000002097152,Up to 30 days
0x429dc62e58483e1262fdce4e452e9266984f2a45,3389146.391468397081657344,Up to 30 days
0x28c6c06298d514db089934071355e5743bf21d60,1282988.027581125380538368,Over 360 days
0x14139f848e7bf577bfbc06b19790eb2d25bbfcc1,1238169.698499999960137728,31 to 90 days
0x9944a69089a39cb719b8533cc892e133e3a80a07,1231823.89927795989938176,Up to 30 days
0x4a245257e2730376edaa034051ba26023b03daef,1080250.958904109649887232,Up to 30 days
0xa98d81e3f123278c0f2f1abc27b9a94d1d59b02e,998255.775454545427038208,Up to 30 days
0x570febdf89c07f256c75686caca215289bb11cfc,886051.919313176075698176,Up to 30 days
0x83ec9aefdb058a77a1d8e410f8f241c665a1d24e,873038.357386426239156224,181 to 360 days
0xedfe9ac42a511e1c523e067db8345711419d4f14,635397.8771712191234048,Over 360 days
0x217800357086747a01899d529866e1ec91517026,457297.547786497988493312,Over 360 days
0x507053b6729c8b73046e70fbd94958225f4bfe07,331817.271360477592551424,Up to 30 days
0x22467b8ed50c4487c51a5db8e2911660607a18fa,327271.272727272849670144,Over 360 days
0x34a77aa9ae42ff9a9b2078e450651d112d5be908,287392.52540396030394368,Up to 30 days
0x1780372b9b6ec3c3fa29f637cfbb58f5bbd2454b,284686.530000000026411008,181 to 360 days
0x51174e6259ec2b96e96b3178401ef2ea26b41222,256772.117968973776027648,Over 360 days
0xee59b05e39209a95dcdc2f9846178c983d82c3aa,246837.616478764713115648,Over 360 days
0x8ccdccb7c945e6dd90ffc3226c3dbb1d4f6300a2,231842.56688279368237056,Over 360 days
0xe74b28c2eae8679e3ccc3a94d5d0de83ccb84705,218005.753926941803544576,Up to 30 days
0xf85a9faf243ec3c806eca8fb0c063e2c920900e1,217857.32520652505612288,Over 360 days
0x8cf982fa77524be83cdb372339cb5c4014d99f01,213684.669815421535256576,Over 360 days
0xb0f252d4f51cd2bf8b26847e00519925f56611f9,205512.987095959578083328,Up to 30 days
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,201253.34390379353473024,Over 360 days
0x073e954906229382cb1883caec58b00cb0fc7dfd,199999.999999999983222784,Up to 30 days
0x5e6566bab016f01cfe8d3cfbe5eb21198192e3fb,191516.170175438596866048,181 to 360 days
0xbbc61272b2fb903e496465508e0bf55494d185bf,185287.999999999997902848,Up to 30 days
0xd6216fc19db775df9774a6e33526131da7d19a2c,167968.15895204078813184,91 to 180 days
0x70031213c95deecfa44a6c438bca25134a292eef,161735.49090909001351168,Up to 30 days
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,145255.759966473795141632,Over 360 days
0xf572bccc19231e13934d268e1fb73b7fc0961cb5,137000.000000000006291456,Over 360 days
0xd2242b55efa10225ed67247203f9b6ac104a6b59,136097.735035589947817984,91 to 180 days
0xef20b900d5aa651b9bf7b5abec35d02350b2a810,131377.679999999993184256,91 to 180 days
0xb1db3e730df1833983222130cf95139f6b563578,127342.758860764819226624,Over 360 days
0xd3a0c59fda2d603c02ff84dd9c00f612cb2b650e,122219.900112560512303104,181 to 360 days
0xcffad3200574698b78f32232aa9d63eabd290703,122154.091464290209890304,Over 360 days
0x21a31ee1afc51d94c2efccaa2092ad1028285549,120434.989999999997181952,Over 360 days
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,118831.289000000009273344,Over 360 days
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,109389.909704329121497088,Over 360 days
0x1d27a08486be145209b68291cf06e7d804e0a054,107061.099199999992922112,91 to 180 days
0x7b2757b062fa6a2ac38ab7d1139c506779fe1b99,107002.812205329513709568,Over 360 days
0x9e3e62cb58ad91efd8b68d85c1d6bc9f7a075e9f,106042.259999999995674624,Over 360 days
0xe2fe530c047f2d85298b07d9333c05737f1435fb,100001.031886719990890496,Over 360 days
0x2f182689eca6e6d905af2624fc7978569ec32002,97342.561931991709646848,Over 360 days
0xe4df4a26618c758433dbde931d19afe73d81fee2,95239.000000000004456448,Up to 30 days
0xfdb3519f49149ffbd787927cd09792eeaccdd56c,78082.191780821919072256,Up to 30 days
0x571ec2a0857302797572a39b0d2371838b70c331,73854.86202983839432704,Over 360 days
0xd95fa4747f7afbbc07ef211d54103a8eca0e76df,73766.00000000000262144,181 to 360 days
0x50bfab20a176bfa9e5805ba01bd71fcf2935cedb,59999.998181818398408704,Over 360 days
0xa66c503b43399d2d8c3bf3d957e2713fece3e286,59054.004629317372346368,91 to 180 days
0xf3b0073e3a7f747c7a38b36b805247b222c302a3,57423.544575233062076416,Over 360 days
0xedfddb8ea41deb967e75dc14ff56a821b1ef3306,55929.99999999999737856,Up to 30 days
0xf2f47cda8c04e6812fe47d7be0880bb987797df1,55727.332869999995912192,Up to 30 days
0x3dfa613d67cfe63df999df2464bcce9e53597be6,55596.99999999999868928,181 to 360 days
0x9e67d018488ad636b538e4158e9e7577f2ecac12,54545.489999999998623744,91 to 180 days
0x916ed5586bb328e0ec1a428af060dc3d10919d84,54092.167219832319639552,Over 360 days
0xf9ca51c8f281f3eab6c6cee72b4a87b4ad42edc3,51748.672399999999410176,181 to 360 days
0x6a891302a7f5c49bee4205a454063857ced6821b,49999.999999999995805696,Up to 30 days
0xfe746059a5038c483769fbc12a514c549e2e93e4,46000.47488443774664704,Over 360 days
0x0d0707963952f2fba59dd06f2b425ace40b492fe,45394.62858065905188864,Over 360 days
0xd70b5af1b50b473c794213071b67916b185769c4,45320.520245492683112448,Over 360 days
0x0069bfd13fcc009ba914d336fc3e390bd27b74e0,44999.999999999997902848,181 to 360 days
0x58edf78281334335effa23101bbe3371b6a36a51,44406.906302390417227776,181 to 360 days
0x3c52070260e8c3ac19366da648204f88579cc182,43141.12389408482131968,Over 360 days
0xdd7bd8dfb381be8397292b03d116fb40da6cbde4,41447.68239804314812416,Up to 30 days
0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,41186.087815284881620992,181 to 360 days
0xcd1f6d17a7c3d68c578ed2799960d492af7d879a,39582.111162409997565952,Over 360 days
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,37287.687000082872270848,91 to 180 days
0xe4335ba33bad71641ac6dcd767cf3b92b8fe0b70,36013.478460606310776832,181 to 360 days
0xb50d4817a50097be0566682e1842465eda1028b4,35506.849315068493955072,Up to 30 days
0xa7a971c22541fa0c831b2e081e4c66ff55b74e40,35000.000000000002097152,91 to 180 days
0x4e3cdc0a29d0a77c8fa576c612cd2dc6649572cd,35000.000000000002097152,31 to 90 days
0x5f65f7b609678448494de4c87521cdf6cef1e932,33517.019570211618029568,Over 360 days
0x10dce18d6b5c779bc8de620f8d0a561dfc3a51f0,32448.965541760002424832,31 to 90 days
0xb724c21b6ef6d23ebe0b2f86676a928b51656def,30000.0,Over 360 days
0x2e485b22779bc59b2c79e9ed82430063d52ac55a,30000.0,181 to 360 days
0xb0c705882afc613430d4e5f3ab07feeb3cc6c984,28956.78750967491198976,Over 360 days
0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe,27998.050000000000196608,Up to 30 days
0x8bea71a28a36b16732bc1f0a9387c5b81afa066c,26669.115875112366637056,91 to 180 days
0x99b85cf530ce0c5e0bea4a0b771ef1d503328a06,26456.116108379576860672,181 to 360 days
0xfbbb0db0b33dc38c65443e4f3aeae2b79a0d35f6,25953.86999452987293696,Over 360 days
0x7b6ab2ca4bb7b456161baa8d395c4dfc94658d90,25400.980758900001210368,Up to 30 days
0x107961d1d8416a3c807b5a927008eb2a618e1cf0,24189.991628220328312832,31 to 90 days
0xc2a2f4acdcef1127cc191e6bd3cc6d3aab4e2c49,23722.486738180336779264,Over 360 days
0x446b86a33e2a438f569b15855189e3da28d027ba,23204.256764144000172032,Up to 30 days
0x331b226c3f46e2b9a63bfbb44ae2de1ffbc81236,22379.654060854642475008,91 to 180 days
0x4fb312915b779b1339388e14b6d079741ca83128,21653.999999999998427136,181 to 360 days
0x67ee5e30eb775c208a89396565a5da9ea66cc0c7,20831.813619999999787008,181 to 360 days
